Rk,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OBPM,DBPM,BPM,VORP,WS,All-NBA
49,11.6,0.548,0.012,0.349,16.3,19.3,17.8,3.1,0.8,0.4,16.6,12.7,-2.4,-1.3,-3.7,-0.2,0.9,0
49,16.3,0.598,0,0.468,11.1,22.5,16.6,6.8,0.8,2.2,11.2,14.3,-0.3,-0.2,-0.5,0.3,2.2,0
50,7.7,0.469,0,0.105,10.3,24.5,17.5,2.6,2,0.4,17.9,18.3,-6.4,-1,-7.4,-0.2,0.1,0
51,9.5,0.507,0.67,0.125,1.1,8.3,4.8,26.2,1.4,0.2,23.2,13.2,-1.2,-0.9,-2.1,0,2.1,0
52,18.4,0.555,0.26,0.422,2.8,13.9,8.3,27.9,2.3,1.2,18.1,23.7,1.7,0.9,2.6,3.3,7,0
53,4,0.342,0.333,0.167,2.9,10.9,6.7,16.8,2.1,0,15.7,23,-6,-2.5,-8.5,-0.1,-0.2,0
54,11.6,0.562,0.444,0.184,3,9.8,6.4,5.8,0.9,0.4,11.1,17.2,0,-1.9,-1.8,0.1,2.4,0
55,15.8,0.565,0,0.118,9.9,26.5,18.5,15.4,1.2,5.3,22.1,13.2,-1.4,5.5,4.1,2.4,5.2,0
56,10.1,0.536,0.548,0.161,3.6,10.2,7,7.1,0.5,1,4.3,12.5,-0.2,-0.7,-0.9,0.3,2.1,0
57,15.3,0.536,0.181,0.319,10.3,19,14.7,9,1.5,2.1,14.3,18.1,-0.6,0.7,0.2,0.9,3.6,0
58,16.4,0.517,0,0.202,7,25.2,15.7,10.3,1.2,0.6,10.2,23.7,-1.8,-1.5,-3.3,-0.6,2.2,0
59,19.8,0.548,0.226,0.311,3.6,20,12,12,1.4,1.4,10.1,28.4,1,-1,-0.1,0.8,3.6,0
60,11.5,0.507,0.348,0.099,2,8.9,5.4,8.9,1.7,0.5,9.4,21,-0.8,-0.9,-1.7,0.2,2.5,0
61,9.4,0.457,0.011,0.242,6.8,16.4,11.8,6.4,1.8,4.3,14.6,11.6,-4.5,3.1,-1.4,0.1,0.7,0
