Rk,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OBPM,DBPM,BPM,VORP,WS
78,18.3,0.553,0.003,0.531,14.4,22.7,18.5,5.1,2,5.2,10.9,16.1,-1.2,1.7,0.5,0.9,4.4
79,11.9,0.49,0.437,0.185,4.6,13.1,8.9,5.5,2.9,0.6,8.8,18.5,0,0.3,0.2,0.4,1.2
80,12.7,0.52,0.493,0.245,3.4,13.6,8.3,8.9,1.9,1.5,8.4,18.5,-0.1,-1.2,-1.2,0.2,1.8
81,13.9,0.497,0.099,0.292,3.4,15.7,9.6,26.6,2.5,2.1,19.6,21.3,-1.6,0.9,-0.8,0.5,1.2
82,13.9,0.587,0.441,0.256,3.4,20.1,11.8,7.5,1.4,0.7,12,17.8,0.3,-0.6,-0.3,0.8,3.6
83,15.3,0.588,0.006,0.369,10.3,16.6,13.5,3.8,1.6,3.8,10.5,13.2,-0.8,1.5,0.7,1,3.8
84,17.3,0.561,0.336,0.59,1.9,11.5,6.5,26.6,3.3,0.9,16.4,21.9,1.8,-0.3,1.5,1.2,3.8
84,9.5,0.437,0.344,0.406,1,11.9,6.6,22.3,3.4,0.6,19.3,17.8,-3.1,0.8,-2.3,0,0.1
84,18,0.57,0.335,0.604,2,11.4,6.5,27,3.3,0.9,16.2,22.3,2.3,-0.4,1.9,1.2,3.7
85,14.7,0.606,0.003,0.545,11.5,27.5,19.3,6,1.1,2.2,19.3,12.7,-1.9,1.3,-0.5,0.6,3.8
86,32,1,0,0,18.3,0,9.1,0,0,0,0,14.7,9.7,-6.6,3.2,0,0
87,11.5,0.544,0.416,0.168,2.6,9.7,6.3,15.3,1.4,1.7,16.5,19.5,-1.8,-1.3,-3,-0.2,0.9
88,23.9,0.75,0.5,0,0,18,8.8,0,0,0,20,35.5,0.2,-9.7,-9.5,0,0
89,14.3,0.516,0.291,0.186,3.8,9.6,6.6,13.8,1.7,0.2,10.2,22.8,0.6,-2,-1.4,0.4,2.1
90,10.8,0.465,0.211,0.134,0.9,13.5,7,22,1.5,0.3,12.8,21.7,-2.4,-1.4,-3.7,-0.5,-0.1
91,15.9,0.591,0.28,0.291,1.4,6.8,4.1,21.7,1.6,0.1,12.9,19.2,1.8,-2.2,-0.4,0.9,5.2
92,7.7,0.498,0.018,0.303,11.2,15.2,13.3,9.6,1.1,1.7,28.8,10.6,-2.5,1.3,-1.2,0.1,0.8
93,19.4,0.538,0.309,0.329,1.6,9.3,5.3,32.7,2,0.8,9.5,22.4,3.7,-1.9,1.7,1.7,5.3
94,4.6,0.352,0.429,0.102,8.3,15.9,12.1,9.9,0.7,0,16.3,18.7,-5.8,-2.4,-8.2,-0.2,-0.2
95,5.4,0.462,0.706,0.137,0.7,6.5,3.7,10.3,0.7,0,10,17.3,-2.5,-5.2,-7.7,-0.2,-0.1
96,1.7,0.4,0.3,0,0,0,0,10.8,3.7,0,33.3,16.5,-9.3,-2.7,-12,-0.1,-0.1
96,-3.3,0.25,0.375,0,0,0,0,12.7,4.4,0,38.5,16.8,-12.2,-2.1,-14.3,-0.1,-0.2
96,29.1,1,0,0,0,0,0,0,0,0,0,15,6.5,-6.1,0.4,0,0
97,23.6,0.538,0.158,0.498,7.7,28.2,18,17,2.2,3.3,13.3,35.4,1,1.6,2.6,2.6,5.7
98,13.2,0.543,0.677,0.249,3.6,20.9,12,8.4,2.7,1.6,15.3,21.5,-0.2,0,-0.2,0.9,2
99,12.2,0.572,0.42,0.167,1.4,9.7,5.6,7.2,1.5,0.6,8.1,16.4,0.4,-1.1,-0.7,0.7,4.3
100,14,0.529,0.366,0.289,1,6.3,3.7,14,1.2,0.4,9.6,24.9,-0.2,-2.4,-2.6,-0.3,3.3
101,15.8,0.565,0.446,0.294,3.2,14.2,8.6,8.9,2.7,1.2,8.3,18.5,1.5,1.3,2.8,2.8,7.3
102,8.6,0.54,0.422,0.199,3.1,10.4,6.6,5.6,1.1,1.4,8.4,11,-1.1,-0.1,-1.2,0.4,2.1
103,5.9,0.464,0.371,0.524,0.8,9.6,5.3,6.9,1.8,0.4,14,16.5,-4.6,-1.3,-5.9,-0.4,0.1
103,5.9,0.464,0.352,0.527,1,8.2,4.6,7.6,1.7,0.5,13.8,16.6,-4.4,-1,-5.4,-0.3,0.1
103,5.8,0.468,0.5,0.5,0,18.5,9.3,2.5,1.9,0,14.9,16.4,-5.7,-3.2,-8.9,-0.1,0
104,13.8,0.603,0.496,0.241,1.4,7.9,4.7,14.2,1.5,0.4,12.7,17.4,0.9,-2.4,-1.5,0.1,1.4
105,31.5,0.669,0.554,0.25,2.9,13.6,8.6,33.7,3,0.4,12.9,32.6,12.4,0.1,12.5,9.8,17.9
106,14.9,0.634,0.652,0.048,1.6,11.6,6.5,7.6,1.2,0.5,11.2,20.4,1.6,-2.7,-1.1,0.1,1.1
107,25,0.559,0.095,0.379,6.4,26.4,16.1,10,1.8,4.7,8.4,29.6,1,1.2,2.2,2.3,7.2
108,18.7,0.616,0,0.605,14.4,24.2,19.3,7.7,1.7,3.3,13,12.7,0.8,2.5,3.3,2.3,6.7
109,7.1,0.46,0,0.2,7.6,7.4,7.5,0,0,2.7,0,8.5,-4.9,-1.7,-6.6,0,0
110,17,0.606,0,0.429,10.4,25.7,17.9,2.7,1.6,5.4,13.2,15.2,-2.6,1.3,-1.3,0.1,2.4
111,9.6,0.505,0.464,0.304,3.1,16.5,9.5,7.7,1.8,0.6,12.3,14.1,-2.2,-0.4,-2.6,0,0.2
113,11.3,0.527,0.468,0.129,2,7.8,4.9,26.2,1.2,0.4,17.7,15.9,-0.2,-1.4,-1.6,0.2,3.8
114,15,0.549,0.344,0.258,5.3,15.4,10.5,9,1.6,0.9,8.9,17.4,1.3,0.6,1.9,2.3,6.4
115,21.5,0.55,0.101,0.474,2.7,11.5,7.1,20.8,1.5,0.6,9.5,29.8,2.7,-1.2,1.4,2.4,9.9
116,14,0.582,0.18,0.198,4.9,13.9,9.6,18.4,1,1.2,18.9,17,-0.1,1.4,1.2,1.1,3.8
117,17.1,0.601,0.035,0.428,8.3,22.1,15.3,10.1,2.1,3.5,16.9,16.7,0,2.4,2.4,2.5,5.9
118,8.9,0.423,0.185,0.611,2.6,9.3,5.8,20.9,1,0,9.3,20.7,-3.1,-2,-5.1,-0.1,0.1
119,14.7,0.543,0.456,0.222,2.1,10.7,6.3,19.1,2.8,0.3,11.6,19.4,1.4,-0.9,0.5,0.8,2.5
120,15.5,0.537,0.234,0.189,2.7,10.4,6.6,28.7,1.5,0.6,16.3,21.9,1.3,-0.6,0.7,1.6,4.7
121,21.2,0.499,0.006,0.553,15.6,34.2,24.5,4.4,2.3,3.2,10.5,24.1,-2.1,1.6,-0.5,1,7.4
122,11.7,0.602,0.489,0.201,2.8,12.6,7.6,11.4,1.7,0.7,13.1,12.7,0.3,0.6,1,1.6,4.6
123,4.2,0.3,0.5,0,9.1,9,9,5.6,2,0,0,17.7,-3.9,-2.8,-6.7,0,0
124,16.9,0.523,0.005,0.297,8.8,23.8,16.6,15.3,1.6,3.9,15.3,17.6,-0.8,5,4.1,2.4,5.2
125,9.1,0.543,0.527,0.197,1.2,11,6.2,8.1,1,1,11.3,14.4,-1.2,-0.9,-2.1,0,0.9
126,28.2,0.634,0.348,0.361,2,21.8,12.4,24.2,1.3,2.5,13.5,30.6,7,0.9,7.9,6.4,14.5
127,2.2,0.371,0.375,0.1,2.9,15.4,9.2,5.7,0.7,1.5,17.7,14.9,-7.1,-1.1,-8.2,-0.2,-0.2
128,11,0.46,0.723,0.123,1.5,16.3,8.8,5,1.7,0.6,1.4,20.7,-1.5,-3.2,-4.7,-0.1,0.1
129,10.1,0.498,0.478,0.112,1.4,10.9,6.1,7.8,1.5,0.3,7.1,17.5,-0.9,-2.3,-3.2,-0.5,0.8
130,13.7,0.504,0.276,0.202,1.7,9.1,5.4,22.2,2.7,1.1,15.4,21.2,-0.6,0.9,0.3,1.6,4.3
131,17.8,0.621,0.513,0.301,6.9,7.4,7.1,10.1,2.4,1.3,12.9,19.8,3.4,-1,2.4,0.4,0.9
131,18.3,0.46,0.615,0.769,10.9,8.9,10,7.6,5.1,4.6,10.3,21.8,1,1.9,2.8,0,0.1
131,18.1,0.647,0.5,0.24,6.5,7.3,6.9,10.3,2.1,0.9,13.3,20,4,-1.3,2.7,0.3,0.8
132,10.7,0.51,0.209,0.182,2.3,10.7,6.6,21.9,1.9,0.1,18.6,17.1,-2.4,-2.3,-4.8,-0.5,0.4
133,12.6,0.62,0.333,0.438,4.8,18.8,11.8,1.2,1.2,3,10.9,11.7,-2.8,0.2,-2.6,0,0.6
134,17.9,0.534,0.271,0.296,2.8,16.4,9.3,34.6,2.1,0.9,17.1,24.7,1.7,0,1.7,0.7,1.4
135,17.7,0.559,0,0.579,13.5,21.9,18,5.8,1.1,4.8,11.7,18.2,-1.5,1.4,-0.1,0.4,2.7
136,21,0.577,0.003,0.355,15.1,23,19,8.1,0.9,2.9,11.2,21,1,-0.1,0.9,1.2,5.5
137,13.2,0.527,0.45,0.1,1.5,8.6,4.9,20.6,2.7,0.6,14.7,18.9,0.2,-1.4,-1.2,0.1,0.4
138,21.6,0.551,0.005,0.313,10,19.6,14.8,8.9,2,3.9,10.1,23.9,0.4,2.3,2.7,2.3,7.1
139,17.6,0.601,0.056,0.486,10,23.1,16.7,12.1,0.9,3,12.9,13.7,-0.5,1.4,0.9,0.2,1.2
140,11.9,0.502,0.312,0.258,1.8,11.1,6.5,20.3,1.6,0.6,13.7,18.4,-1.1,0.2,-0.9,0.6,2.7
141,14.6,0.587,0.42,0.256,1.4,8.4,4.9,12.8,1.9,0.1,11.4,20.1,2.1,-1.5,0.7,1.7,5.7
142,7.6,0.461,0.519,0.154,1.6,8.8,5.2,14.1,1.2,1.4,14.3,15.9,-2.3,-1.3,-3.6,-0.6,0.4
142,7.8,0.457,0.508,0.141,1.6,9.4,5.4,15.6,1.2,1.2,14.1,16.8,-2.5,-1.6,-4.1,-0.6,0
142,7.1,0.469,0.544,0.181,1.6,7.8,4.9,11.3,1.1,1.7,14.8,14.1,-1.9,-0.6,-2.5,-0.1,0.4
143,13.9,0.499,0.21,0.323,3.8,12.8,8.2,33.3,2.2,0.2,19.9,19.4,-0.7,-0.7,-1.3,0.1,1
143,4.7,0.383,0.283,0.25,4.4,11.2,7.8,21.3,1.8,0.3,28.8,15,-5.7,-0.6,-6.3,-0.3,-0.3
143,19.1,0.539,0.183,0.349,3.4,13.7,8.4,40.3,2.4,0.2,16.3,22,2.2,-0.7,1.5,0.4,1.2
144,12,0.625,0.4,1,0,0,0,7.7,2.8,0,21.7,22.8,-2.3,-5.3,-7.5,0,0
144,-1.6,0.25,0.25,0,0,0,0,10.7,3.8,0,20,17,-10.6,-3.1,-13.8,0,-0.1
144,47.4,1.094,1,5,0,0,0,0,0,0,23.8,38,19.5,-10.7,8.8,0,0.1
145,12.9,0.586,0.677,0.101,3.2,18.6,10.9,8.7,1.2,1.9,10.6,15.1,0.5,0,0.5,0.7,3
145,11.8,0.586,0.651,0.113,3.3,17.6,10.4,8.4,1.4,2.2,13.3,13.2,-0.3,0.4,0.1,0.4,1.5
145,14.9,0.586,0.708,0.087,3.1,20.4,11.8,9.1,0.9,1.5,7.2,18.3,1.9,-0.8,1.1,0.3,1.5
